62
ratio
Rectilinear
3635307.3
117.124	117.124
sparse
1	210	4
2	130	4
3	224	4
4	260	4
5	208	4
6	294	4
7	323	4
8	266	4
9	441	4
10	340	4
11	143	4
12	168	4
13	342	4
14	357	4
15	420	4
16	147	4
17	380	4
18	144	4
19	187	4
20	240	4
21	140	4
22	304	4
23	300	4
24	162	4
25	252	4
26	196	4
27	176	4
28	144	4
29	221	4
30	130	4
31	182	4
32	136	4
33	399	4
34	210	4
35	150	4
36	108	4
37	357	4
38	144	4
39	252	4
40	135	4
41	204	4
42	204	4
43	99	4
44	160	4
45	357	4
46	260	4
47	190	4
48	280	4
49	180	4
50	104	4
51	198	4
52	160	4
53	200	4
54	361	4
55	231	4
56	140	4
57	77	4
58	187	4
59	231	4
60	91	4
61	210	4
62	272	4


1	2	51.0
1	3	93.0
1	4	60.0
1	5	42.0
1	7	13.0
1	8	6.0
1	9	45.0
1	11	63.0
1	12	96.0
1	14	14.0
1	16	32.0
1	18	43.0
1	20	52.0
1	21	45.0
1	23	94.0
1	24	55.0
1	25	30.0
1	27	59.0
1	28	72.0
1	29	29.0
1	33	32.0
1	34	51.0
1	35	19.0
1	37	23.0
1	38	30.0
1	39	40.0
1	41	85.0
1	42	89.0
1	43	48.0
1	44	90.0
1	45	97.0
1	51	41.0
1	52	75.0
1	53	52.0
1	54	84.0
1	55	69.0
1	56	9.0
1	58	59.0
1	59	68.0
1	60	24.0
1	61	95.0
1	62	59.0
2	3	44.0
2	5	88.0
2	6	22.0
2	7	32.0
2	8	16.0
2	9	25.0
2	10	37.0
2	11	12.0
2	12	46.0
2	13	23.0
2	15	99.0
2	16	10.0
2	17	86.0
2	19	18.0
2	20	23.0
2	21	16.0
2	23	74.0
2	24	93.0
2	25	8.0
2	26	7.0
2	27	57.0
2	28	69.0
2	29	30.0
2	30	41.0
2	31	21.0
2	32	37.0
2	33	51.0
2	34	25.0
2	35	64.0
2	37	25.0
2	38	40.0
2	39	41.0
2	40	84.0
2	42	70.0
2	43	77.0
2	44	63.0
2	47	47.0
2	49	6.0
2	50	18.0
2	53	28.0
2	54	97.0
2	56	74.0
2	57	52.0
2	59	68.0
2	61	18.0
2	62	72.0
3	4	33.0
3	5	35.0
3	6	6.0
3	7	8.0
3	8	45.0
3	9	13.0
3	10	14.0
3	11	71.0
3	12	94.0
3	13	17.0
3	14	92.0
3	15	54.0
3	16	56.0
3	17	67.0
3	18	62.0
3	19	63.0
3	20	29.0
3	21	93.0
3	22	21.0
3	23	55.0
3	24	85.0
3	25	84.0
3	26	73.0
3	27	37.0
3	28	24.0
3	29	9.0
3	30	85.0
3	31	7.0
3	32	52.0
3	34	54.0
3	35	63.0
3	36	47.0
3	37	36.0
3	38	26.0
3	39	77.0
3	40	23.0
3	41	93.0
3	42	25.0
3	43	6.0
3	44	22.0
3	45	21.0
3	47	8.0
3	48	45.0
3	49	28.0
3	50	16.0
3	51	99.0
3	52	32.0
3	53	71.0
3	54	51.0
3	55	49.0
3	56	72.0
3	57	68.0
3	59	31.0
3	60	27.0
3	61	54.0
3	62	68.0
4	5	92.0
4	6	90.0
4	7	11.0
4	8	56.0
4	9	11.0
4	11	18.0
4	12	18.0
4	13	98.0
4	16	83.0
4	18	56.0
4	20	81.0
4	21	23.0
4	22	71.0
4	23	84.0
4	25	27.0
4	27	5.0
4	29	61.0
4	30	91.0
4	32	65.0
4	33	12.0
4	36	28.0
4	37	52.0
4	39	82.0
4	41	84.0
4	42	53.0
4	45	94.0
4	46	27.0
4	47	5.0
4	49	12.0
4	50	43.0
4	51	84.0
4	53	74.0
4	54	51.0
4	55	91.0
4	56	50.0
4	58	76.0
4	59	33.0
4	61	10.0
5	6	83.0
5	7	13.0
5	8	31.0
5	9	59.0
5	10	61.0
5	11	53.0
5	12	54.0
5	13	18.0
5	15	94.0
5	16	59.0
5	18	46.0
5	19	56.0
5	20	19.0
5	21	65.0
5	22	49.0
5	24	51.0
5	26	55.0
5	28	23.0
5	29	65.0
5	30	42.0
5	32	30.0
5	33	76.0
5	34	48.0
5	36	29.0
5	37	84.0
5	38	83.0
5	39	16.0
5	40	70.0
5	41	76.0
5	43	70.0
5	44	73.0
5	46	72.0
5	47	96.0
5	48	17.0
5	49	75.0
5	51	77.0
5	52	14.0
5	54	75.0
5	55	55.0
5	56	50.0
5	59	88.0
5	60	55.0
5	61	12.0
6	8	42.0
6	10	72.0
6	11	20.0
6	12	63.0
6	13	84.0
6	16	35.0
6	20	76.0
6	21	43.0
6	22	7.0
6	23	6.0
6	27	32.0
6	28	29.0
6	29	87.0
6	33	47.0
6	36	19.0
6	37	43.0
6	39	21.0
6	43	49.0
6	45	86.0
6	56	21.0
6	57	5.0
6	58	27.0
6	59	29.0
6	61	11.0
6	62	11.0
7	9	83.0
7	10	60.0
7	11	41.0
7	12	62.0
7	13	94.0
7	14	11.0
7	16	62.0
7	20	42.0
7	21	83.0
7	22	71.0
7	25	26.0
7	27	26.0
7	28	14.0
7	29	91.0
7	33	65.0
7	37	9.0
7	38	16.0
7	39	16.0
7	43	20.0
7	44	64.0
7	46	12.0
7	47	47.0
7	48	91.0
7	49	92.0
7	50	85.0
7	52	45.0
7	53	59.0
7	54	13.0
7	56	35.0
7	57	83.0
7	59	17.0
7	61	33.0
7	62	8.0
8	9	18.0
8	10	65.0
8	11	8.0
8	12	7.0
8	13	37.0
8	14	44.0
8	15	52.0
8	16	97.0
8	17	86.0
8	18	42.0
